	zeit	Soll Temp	Ist Temp	Heizung	temp erreicht	Pumpe
620098	620	86	75	1	0	0
620863	621	86	75	1	0	0
621629	622	86	75	1	0	0
622394	622	86	75	1	0	0
623160	623	86	75	1	0	0
623925	624	86	75	1	0	0
624691	625	86	75	1	0	0
625456	625	86	75	1	0	0
626222	626	86	75	1	0	0
626987	627	86	75	1	0	0
627752	628	86	75	1	0	0
628517	629	86	75	1	0	1
629283	629	86	75	1	0	1
630048	630	86	75	1	0	1
630814	631	86	75	1	0	1
631579	632	86	75	1	0	1
632344	632	86	75	1	0	1
633110	633	86	75	1	0	1
633875	634	86	75	1	0	1
634641	635	86	75	1	0	1
635406	635	86	75	1	0	1
636172	636	86	76	1	0	1
636937	637	86	76	1	0	1
637703	638	86	76	1	0	1
638468	638	86	76	1	0	1
639234	639	86	76	1	0	1
639998	640	86	76	1	0	1
640764	641	86	76	1	0	1
641529	642	86	76	1	0	1
642295	642	86	76	1	0	1
643060	643	86	77	1	0	1
643826	644	86	77	1	0	0
644591	645	86	77	1	0	0
645357	645	86	77	1	0	0
646122	646	86	77	1	0	0
646888	647	86	77	1	0	0
647653	648	86	77	1	0	0
648419	648	86	77	1	0	0
649184	649	86	77	1	0	0
649949	650	86	77	1	0	0
650715	651	86	77	1	0	0
651480	651	86	77	1	0	0
652246	652	86	77	1	0	0
653010	653	86	77	1	0	0
653776	654	86	77	1	0	0
654541	655	86	77	1	0	0
655307	655	86	77	1	0	0
656072	656	86	77	1	0	0
656838	657	86	77	1	0	0
657603	658	86	77	1	0	0
658369	658	86	77	1	0	0
659134	659	86	77	1	0	0
659900	660	86	77	1	0	0
660665	661	86	77	1	0	0
661431	661	86	77	1	0	0
662196	662	86	77	1	0	0
662962	663	86	77	1	0	0
663727	664	86	77	1	0	0
664493	664	86	77	1	0	0
665257	665	86	77	1	0	0
666023	666	86	77	1	0	0
666788	667	86	77	1	0	0
667553	668	86	77	1	0	0
668319	668	86	77	1	0	0
669084	669	86	77	1	0	0
669850	670	86	77	1	0	0
670615	671	86	77	1	0	0
671381	671	86	77	1	0	0
672146	672	86	77	1	0	0
672912	673	86	77	1	0	0
673677	674	86	77	1	0	0
674443	674	86	77	1	0	0
675208	675	86	77	1	0	0
675974	676	86	77	1	0	0
676739	677	86	77	1	0	0
